,level_0,index,naics,complexity,firm_prpn,NUMBER_FIRMS
115,115,6858,336120,6,1.0,66
116,116,6926,425120,3,0.5121951219512195,42713
117,117,6967,523920,6,0.6818181818181818,20632
118,118,7011,444110,7,1.0,1994
119,119,7056,325620,6,0.2692307692307692,943
120,120,7108,481111,8,0.9298245614035088,256
121,121,7165,334417,6,0.7777777777777778,169
122,122,7210,511110,7,0.5714285714285714,4166
123,123,7252,331491,5,1.0,249
124,124,7281,311221,6,0.7058823529411765,29
125,125,7315,333120,2,1.0,657
126,126,7345,339113,3,1.0,1822
127,127,7376,524113,8,1.0,768
128,128,7432,322220,3,1.0,571
129,129,7455,323111,5,0.4166666666666667,17178
130,130,7479,333316,5,1.0,198
131,131,7498,312111,7,1.0,311
132,132,7559,311211,2,0.5263157894736842,176
133,133,7578,332721,2,0.2857142857142857,3593
134,134,7592,515120,7,0.9285714285714286,870
135,135,7648,212111,5,0.6730769230769231,264
136,136,7700,541110,2,0.5454545454545454,164000
137,137,7722,331318,4,0.8333333333333334,196
138,138,7734,337127,2,0.23076923076923078,620
139,139,7747,313110,3,0.8333333333333334,270
140,140,7759,493110,5,0.64,5531
141,141,7784,448310,4,0.6296296296296297,15287
142,142,7811,624190,3,0.375,21510
143,143,7827,336414,4,1.0,22
144,144,7842,331314,2,1.0,89
145,145,7848,331315,4,1.0,81
146,146,7882,311225,5,0.25,92
147,147,7902,332999,2,1.0,3558
148,148,7923,444190,5,0.6,22255
149,149,7958,238220,5,0.7321428571428571,96594
150,150,8014,611710,5,1.0,7989
151,151,8030,213111,4,1.0,1795
152,152,8045,313230,2,0.3333333333333333,200
153,153,8051,446191,2,0.5,5120
154,154,8059,311613,3,1.0,110
155,155,8067,423310,3,0.75,4820
156,156,8083,332311,4,1.0,622
157,157,8096,442110,2,0.25,13949
158,158,8108,236117,4,0.0,12287
159,159,8138,561910,3,0.23076923076923078,1478
160,160,8151,238290,3,1.0,6075
161,161,8164,722511,4,0.15,213503
162,162,8184,334510,6,1.0,675
163,163,8262,236115,6,0.6785714285714286,48373
164,164,8290,325510,5,0.782608695652174,959
165,165,8336,311230,3,1.0,61
166,166,8356,445110,6,0.7230769230769231,41264
167,167,8421,524130,6,0.5625,148
168,168,8453,336991,3,0.7666666666666667,434
